result_scope,p,L,steps,trials,master_seed,confidence,generation,density_mean,density_ci_low,density_ci_high,activity_mean,activity_ci_low,activity_ci_high,period_detected_fraction,period_detected_ci_low,period_detected_ci_high,detected_period_mean
empirical_finite_size,0.1,32,200,12,20260727,0.95,130,0.045328776041666664,0.02531041702751174,0.06534713505582158,0.02587890625,0.009852011668515272,0.04190580083148473,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,140,0.042154947916666664,0.023928493368437772,0.06038140246489555,0.029134114583333332,0.010101688334343672,0.048166540832322996,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,150,0.044596354166666664,0.025649426838034964,0.06354328149529836,0.033121744791666664,0.015328903572550064,0.05091458601078326,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,160,0.044759114583333336,0.027897898746967298,0.06162033041969937,0.03369140625,0.014123088089586736,0.05325972441041327,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,170,0.047119140625,0.02878747789405783,0.06545080335594217,0.030598958333333332,0.014321482912294403,0.04687643375437226,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,180,0.045247395833333336,0.029115500056602437,0.06137929161006424,0.026448567708333332,0.013448931946544635,0.039448203470122026,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,190,0.052978515625,0.031155087425567086,0.07480194382443292,0.036295572916666664,0.014357090314053786,0.05823405551927954,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,32,200,12,20260727,0.95,200,0.0478515625,0.028909518526002004,0.066793606473998,0.0302734375,0.011804704184622431,0.04874217081537757,0.5833333333333334,0.29199037582174364,0.874676290844923,1.7142857142857142
empirical_finite_size,0.1,64,200,12,20260727,0.95,0,0.0994873046875,0.09718379037007392,0.10179081900492608,,,,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,10,0.037638346354166664,0.030975122554354848,0.04430157015397848,0.02581787109375,0.019420459900754902,0.0322152822867451,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,20,0.037068684895833336,0.028965082970664614,0.04517228682100206,0.026957194010416668,0.018376463713029173,0.03553792430780416,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,30,0.040873209635416664,0.029733850261197625,0.052012569009635704,0.025838216145833332,0.017198182276035825,0.03447825001563084,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,40,0.0411376953125,0.029015355289011252,0.05326003533598875,0.02667236328125,0.01693794908105192,0.03640677748144808,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,50,0.040812174479166664,0.029860104176479156,0.05176424478185417,0.0283203125,0.01843491399911551,0.03820571100088449,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,60,0.045369466145833336,0.030925620387398992,0.05981331190426768,0.03125,0.018790153411799956,0.04370984658820004,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,70,0.046223958333333336,0.03070309697909849,0.06174481968756818,0.032572428385416664,0.018447759947320466,0.04669709682351286,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,80,0.0457763671875,0.031248500200894428,0.060304234174105575,0.030904134114583332,0.017483116879536707,0.04432515134962996,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,90,0.046651204427083336,0.03190516712423545,0.06139724172993122,0.030069986979166668,0.01709165161978881,0.043048322338544526,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,100,0.045166015625,0.030861408887167194,0.059470622362832806,0.028951009114583332,0.01587472383722656,0.042027294391940105,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,110,0.042093912760416664,0.029428132873393693,0.054759692647439635,0.027506510416666668,0.014611777868270868,0.040401242965062464,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,120,0.046183268229166664,0.0320383051180008,0.06032823134033253,0.027628580729166668,0.015901119763083747,0.03935604169524959,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,130,0.047119140625,0.03271773019401177,0.06152055105598823,0.02972412109375,0.01700917931635128,0.04243906287114872,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,140,0.048909505208333336,0.032788150507417686,0.06503085990924898,0.0313720703125,0.017463969762109326,0.04528017086289067,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,150,0.047709147135416664,0.03216426199576994,0.06325403227506339,0.0296630859375,0.01632451698623077,0.043001654888769225,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,160,0.046244303385416664,0.03218400985010695,0.06030459692072638,0.029317220052083332,0.016623395920630057,0.04201104418353661,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,170,0.044474283854166664,0.030613866337577268,0.05833470137075606,0.027750651041666668,0.015586908837044073,0.03991439324628926,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,180,0.0465087890625,0.031959446138760214,0.061058131986239786,0.027852376302083332,0.015776636768941855,0.039928115835224806,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,190,0.046427408854166664,0.03176697705891207,0.06108784064942126,0.03118896484375,0.017390975424787694,0.044986954262712306,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,64,200,12,20260727,0.95,200,0.043416341145833336,0.0299680322982274,0.05686464999343927,0.028116861979166668,0.015055525321141829,0.04117819863719151,0.3333333333333333,0.05475618297657597,0.6119104836900906,2.0
empirical_finite_size,0.1,128,200,12,20260727,0.95,0,0.0992279052734375,0.09757928544662481,0.10087652510025019,,,,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,10,0.036600748697916664,0.033031262556350575,0.04017023483948275,0.022547403971354168,0.019286168586421522,0.025808639356286814,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,20,0.0400848388671875,0.036917378326189146,0.043252299408185854,0.026204427083333332,0.022905385002149854,0.02950346916451681,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,30,0.0433502197265625,0.03969814143390827,0.04700229801921673,0.028233846028645832,0.024601820826729934,0.031865871230561726,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,40,0.045160929361979164,0.040903219168895125,0.049418639555063204,0.031107584635416668,0.026832293659836224,0.035382875610997115,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,50,0.046356201171875,0.04212736076663476,0.05058504157711524,0.030705769856770832,0.02622141297048286,0.035190126743058804,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,60,0.0481719970703125,0.04420844338560772,0.05213555075501728,0.032206217447916664,0.02833559739647162,0.03607683749936171,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,70,0.047515869140625,0.0435203767073461,0.0515113615739039,0.0313873291015625,0.027979856493265984,0.03479480170985901,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,80,0.045654296875,0.04152592788283022,0.04978266586716978,0.030543009440104168,0.026330944099761333,0.034755074780447,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,90,0.044041951497395836,0.03984571950217161,0.04823818349262006,0.029261271158854168,0.02525018118026158,0.033272361137446756,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,100,0.043772379557291664,0.03948317694026212,0.04806158217432121,0.029327392578125,0.024895024063202816,0.03375976109304719,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,110,0.045084635416666664,0.03999481359563415,0.05017445723769918,0.029693603515625,0.024984505356053288,0.03440270167519671,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,120,0.0468597412109375,0.041208338345781616,0.052511144076093384,0.0298004150390625,0.024878286091573252,0.03472254398655175,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,130,0.045750935872395836,0.040984471722939404,0.05051740002185227,0.029378255208333332,0.025012331450522035,0.03374417896614463,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,140,0.045176188151041664,0.04118008977350107,0.04917228652858226,0.030207316080729168,0.02604738547092582,0.03436724669053252,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,150,0.046366373697916664,0.04169841536607892,0.05103433202975441,0.030405680338541668,0.026086102598300305,0.03472525807878303,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,160,0.045186360677083336,0.040524049431868714,0.04984867192229796,0.029179890950520832,0.02429447624675718,0.034065305654284485,0.0,0.0,0.0,
empirical_finite_size,0.1,128,200,12,20260727,0.95,170,0.045160929361979164,0.0402239042258723,0.05009795449808603,0.028966267903645832,0.02449096192851625,0.033441573878775416,0.0,0.0,0.0,
