candidate,direction,phase,lane,outcome,restored_generation,settled_generation,settled_period,population_at_stop
sl4x4_001,NW,2,-4,changed_periodic,,45,1,0
sl4x4_001,NW,2,-3,changed_periodic,,114,1,6
sl4x4_001,NW,2,-2,unresolved_by_horizon,,,,150
sl4x4_001,NW,2,-1,changed_periodic,,35,1,6
sl4x4_001,NW,2,0,changed_periodic,,33,1,6
sl4x4_001,NW,2,1,unresolved_by_horizon,,,,133
sl4x4_001,NW,2,2,changed_periodic,,104,1,6
sl4x4_001,NW,2,3,changed_periodic,,31,1,0
sl4x4_001,NW,2,4,changed_periodic,,31,1,0
sl4x4_001,NW,3,-5,changed_periodic,,48,1,0
sl4x4_001,NW,3,-4,changed_periodic,,44,1,0
sl4x4_001,NW,3,-3,changed_periodic,,113,1,6
sl4x4_001,NW,3,-2,unresolved_by_horizon,,,,130
sl4x4_001,NW,3,-1,changed_periodic,,34,1,6
sl4x4_001,NW,3,0,changed_periodic,,32,1,6
sl4x4_001,NW,3,1,unresolved_by_horizon,,,,124
sl4x4_001,NW,3,2,changed_periodic,,103,1,6
sl4x4_001,NW,3,3,changed_periodic,,30,1,0
sl4x4_001,NW,3,4,changed_periodic,,30,1,0
sl4x4_001,NE,0,-2,changed_periodic,,41,1,0
sl4x4_001,NE,0,-1,changed_periodic,,41,1,0
sl4x4_001,NE,0,0,changed_periodic,,114,1,6
sl4x4_001,NE,0,1,unresolved_by_horizon,,,,119
sl4x4_001,NE,0,2,changed_periodic,,43,1,6
sl4x4_001,NE,0,3,changed_periodic,,45,1,6
sl4x4_001,NE,0,4,unresolved_by_horizon,,,,99
sl4x4_001,NE,0,5,changed_periodic,,124,1,6
sl4x4_001,NE,0,6,changed_periodic,,55,1,0
sl4x4_001,NE,0,7,changed_periodic,,59,1,0
sl4x4_001,NE,1,-2,changed_periodic,,40,1,0
sl4x4_001,NE,1,-1,changed_periodic,,40,1,0
sl4x4_001,NE,1,0,changed_periodic,,113,1,6
sl4x4_001,NE,1,1,unresolved_by_horizon,,,,100
sl4x4_001,NE,1,2,changed_periodic,,42,1,6
sl4x4_001,NE,1,3,changed_periodic,,44,1,6
sl4x4_001,NE,1,4,unresolved_by_horizon,,,,115
sl4x4_001,NE,1,5,changed_periodic,,123,1,6
sl4x4_001,NE,1,6,changed_periodic,,54,1,0
sl4x4_001,NE,1,7,changed_periodic,,58,1,0
sl4x4_001,NE,2,-2,changed_periodic,,39,1,0
sl4x4_001,NE,2,-1,changed_periodic,,39,1,0
sl4x4_001,NE,2,0,changed_periodic,,112,1,6
sl4x4_001,NE,2,1,unresolved_by_horizon,,,,118
sl4x4_001,NE,2,2,changed_periodic,,41,1,6
sl4x4_001,NE,2,3,changed_periodic,,43,1,6
sl4x4_001,NE,2,4,unresolved_by_horizon,,,,99
sl4x4_001,NE,2,5,changed_periodic,,122,1,6
sl4x4_001,NE,2,6,changed_periodic,,53,1,0
sl4x4_001,NE,2,7,changed_periodic,,57,1,0
sl4x4_001,NE,3,-2,changed_periodic,,38,1,0
sl4x4_001,NE,3,-1,changed_periodic,,38,1,0
sl4x4_001,NE,3,0,changed_periodic,,111,1,6
sl4x4_001,NE,3,1,unresolved_by_horizon,,,,112
sl4x4_001,NE,3,2,changed_periodic,,40,1,6
sl4x4_001,NE,3,3,changed_periodic,,42,1,6
sl4x4_001,NE,3,4,unresolved_by_horizon,,,,96
sl4x4_001,NE,3,5,changed_periodic,,121,1,6
sl4x4_001,NE,3,6,changed_periodic,,52,1,0
sl4x4_001,NE,3,7,changed_periodic,,56,1,0
sl4x4_002,SE,0,-5,changed_periodic,,62,1,4
sl4x4_002,SE,0,-4,unresolved_by_horizon,,,,135
sl4x4_002,SE,0,-3,unresolved_by_horizon,,,,28
sl4x4_002,SE,0,-2,changed_periodic,,44,2,3
sl4x4_002,SE,0,-1,changed_periodic,,42,2,3
sl4x4_002,SE,0,0,changed_periodic,,40,2,3
sl4x4_002,SE,0,1,changed_periodic,,38,2,3
sl4x4_002,SE,0,2,unresolved_by_horizon,,,,28
sl4x4_002,SE,0,3,unresolved_by_horizon,,,,134
sl4x4_002,SE,0,4,changed_periodic,,44,1,4
sl4x4_002,SE,1,-5,changed_periodic,,61,1,4
sl4x4_002,SE,1,-4,unresolved_by_horizon,,,,144
sl4x4_002,SE,1,-3,unresolved_by_horizon,,,,28
